;uid,Nr Table,Type(cps/money),MapID,X,Y,NpcType
102183,6,1,1858,60,85,30236
102191,5,2,1858,128,70,30236
102193,4,2,1858,111,70,30236
102195,3,2,1858,94,70,30236
102197,2,2,1858,77,70,30236
102199,7,1,1858,77,85,30236
102201,1,2,1858,60,70,30236
102203,11,2,1858,60,100,30236
102205,12,2,1858,77,100,30236
102207,13,2,1858,94,100,30236
102209,14,2,1858,111,100,30236
102211,15,2,1858,128,100,30236
102079,9,1,1858,111,85,30236
102213,16,1,1858,60,115,30236
102215,17,1,1858,77,115,30236
102217,18,1,1858,94,115,30236
102219,19,1,1858,111,115,30236
102221,20,1,1858,128,115,30236
102027,10,1,1858,128,85,30236
102095,8,1,1858,94,85,30236
